Country,Age,Count,Education level,Gender,Industry,Org,Org size,Role group,Role group Avg,Role,Problems,Prob_RoleGroup [%],Prob_RoleGroup Avg [%],Hope,Hope_RoleGroup [%],,,,,,
United States,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Line-of-Business Manager,Other (please indicate below),0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,hope %,,
United States,18-25,1,Master's degree,Male,Telecommunications,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,More resources given to data science teams within organizations,0.1678,,DS group válaszadók,596,0.1678,,
India,42-57,1,Doctoral degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,A reduction in job opportunities caused by automation,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,42-57,1,Master's degree,Male,Healthcare,Not-for-profit organization,"201-1,000",Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Argentina,68-100,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,26-41,1,Master's degree,Female,Energy,Commercial (for-profit) entity,"1,001-3,000",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,42-57,1,Bachelor's degree,Male,Telecommunications,Commercial (for-profit) entity,1-200,Operations,Others avg.,System Administrator,Impacts to individual privacy,0.6,0.03877471888,Further innovation in vendor-specific data science products,0.5882,,Operations,170,0.5882352941,,
United States,42-57,1,Doctoral degree,Male,Technology,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Other (please indicate below),0.1678,,,,,,
United States,58-67,1,Bachelor's degree,Other,,Educational institution,,Operations,Others avg.,System Administrator,A reduction in job opportunities caused by automation,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
United States,58-67,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,42-57,1,Master's degree,Male,Healthcare,Not-for-profit organization,"10,001",Business professional,Others avg.,Line-of-Business Manager,A reduction in job opportunities caused by automation,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
United Kingdom,26-41,1,Doctoral degree,Female,Media,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Brazil,26-41,1,Bachelor's degree,Male,Pharmaceutical,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,Doctoral degree,Female,Automotive,Commercial (for-profit) entity,"1,001-3,000",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
United States,26-41,1,Master's degree,Male,Education,Not-for-profit organization,"201-1,000",Operations,Others avg.,DevOps,A reduction in job opportunities caused by automation,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
Turkey,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
United States,26-41,1,Master's degree,Male,Defense,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Master's degree,Male,Defense,Commercial (for-profit) entity,"10,001",Scientists,Others avg.,Applied Scientist,A reduction in job opportunities caused by automation,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,Scientists,244,0.4098360656,,
India,18-25,1,High School or equivalent,Male,Research & Development,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,More specialized data science hardware,0.3448,,,,,,
United States,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in vendor-specific data science products,0.2976,,,,,,
United States,42-57,1,Some college,Male,Other,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,Other (please indicate below),0.1931,,,,,,
United States,26-41,1,Bachelor's degree,Female,Energy,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,58-67,1,Bachelor's degree,Male,Government,Government agency,"5,001-10,000",Operations,Others avg.,System Administrator,Impacts to individual privacy,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
United States,42-57,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Product Manager,A reduction in job opportunities caused by automation,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
United States,42-57,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,42-57,1,Bachelor's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Master's degree,Male,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,68-100,1,Master's degree,Male,,,,Other,Others avg.,Other (please indicate below),Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Chile,42-57,1,Master's degree,Male,,Educational institution,,Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
India,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
United States,26-41,1,Master's degree,Male,Government,Not-for-profit organization,1-200,Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Poland,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Albania,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
India,26-41,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Poland,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in vendor-specific data science products,0.3448,,,,,,
United States,58-67,1,Doctoral degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in vendor-specific data science products,0.1678,,,,,,
United States,26-41,1,Master's degree,Female,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Bachelor's degree,Male,Manufacturing,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
United States,58-67,1,Bachelor's degree,Male,,Educational institution,,Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,42-57,1,Master's degree,Male,Energy,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,Bachelor's degree,Other,Healthcare,Commercial (for-profit) entity,"10,001",Operations,Others avg.,System Administrator,Impacts to individual privacy,0.6,0.03877471888,Other (please indicate below),0.5882,,,,,,
Peru,26-41,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Mexico,42-57,1,Doctoral degree,Male,,Educational institution,,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,No degree,Male,Agriculture,Commercial (for-profit) entity,1-200,Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
United States,26-41,1,Master's degree,Male,Transportation & Logistics,Government agency,"3,001-5,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in vendor-specific data science products,0.1678,,,,,,
Portugal,26-41,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Mexico,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
Korea South,42-57,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,A reduction in job opportunities caused by automation,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
United States,42-57,1,Doctoral degree,Male,Research & Development,Government agency,"3,001-5,000",Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
Canada,26-41,1,Doctoral degree,Male,Finance,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,42-57,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Engineer,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Master's degree,Male,Consulting,Not-for-profit organization,1-200,Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,42-57,1,Master's degree,Male,Media,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
United States,68-100,1,Master's degree,Male,Telecommunications,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Line-of-Business Manager,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
United Kingdom,18-25,1,Master's degree,Male,Government,Government agency,"1,001-3,000",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,42-57,1,Master's degree,Male,Agriculture,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Research Scientist,A reduction in job opportunities caused by automation,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
United States,18-25,1,Bachelor's degree,Female,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Some college,Female,Automotive,Government agency,"201-1,000",Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Colombia,26-41,1,Bachelor's degree,Male,Energy,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),Other (please indicate below),0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Kenya,26-41,1,Bachelor's degree,Male,,,,Other,Others avg.,Developer,Lack of diversity and inclusion in the profession,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Spain,42-57,1,Master's degree,Male,Professional Services,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,58-67,1,Bachelor's degree,Female,,Educational institution,,Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
United States,26-41,1,Doctoral degree,Female,Research & Development,Government agency,1-200,Education,Others avg.,Professor/Instructor/Researcher,Other (please indicate below),0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
Canada,68-100,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Other (please indicate below),0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Brazil,18-25,1,High School or equivalent,Male,Consulting,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,Consulting,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Business Analyst,A reduction in job opportunities caused by automation,0.3,0.03877471888,More specialized data science hardware,0.2976,,,,,,
Poland,42-57,1,Doctoral degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,A reduction in job opportunities caused by automation,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Master's degree,Female,Finance,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Canada,26-41,1,Some college,Male,Electronics,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,More specialized data science hardware,0.3448,,,,,,
Colombia,26-41,1,Master's degree,Male,Technology,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Sweden,18-25,1,Some college,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
India,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"1,001-3,000",Operations,Others avg.,Cloud Security Manager,Advanced information warfare,0.6,0.03877471888,Further innovation in the open-source data science community,0.5882,,,,,,
United States,26-41,1,Doctoral degree,Male,Finance,Commercial (for-profit) entity,"5,001-10,000",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,,,,Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,58-67,1,Master's degree,Male,Healthcare,Government agency,"5,001-10,000",Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,58-67,1,Master's degree,Male,,Educational institution,,Data science,Data science,ML Engineer,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,58-67,1,Doctoral degree,Male,Other,Government agency,"201-1,000",Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,Other (please indicate below),0.3448,,,,,,
Canada,58-67,1,Some college,Male,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
China,26-41,1,Doctoral degree,Female,,Educational institution,,Scientists,Others avg.,Research Scientist,A reduction in job opportunities caused by automation,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Israel,42-57,1,Bachelor's degree,Male,,Educational institution,,Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Ecuador,26-41,1,Bachelor's degree,Female,Telecommunications,Commercial (for-profit) entity,"5,001-10,000",Business professional,Others avg.,Business Analyst,Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
United States,58-67,1,Doctoral degree,Male,Technology,Commercial (for-profit) entity,"10,001",Scientists,Others avg.,Applied Scientist,Social impacts from bias in data and models,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
Vietnam,26-41,1,Bachelor's degree,Female,Finance,Commercial (for-profit) entity,"1,001-3,000",Business professional,Others avg.,Business Analyst,Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
United States,18-25,1,High School or equivalent,Female,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
Poland,42-57,1,Master's degree,Male,Research & Development,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Costa Rica,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,26-41,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,A reduction in job opportunities caused by automation,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
United States,26-41,1,Master's degree,Male,Automotive,Commercial (for-profit) entity,"3,001-5,000",Data science,Data science,Data Engineer,Lack of diversity and inclusion in the profession,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Doctoral degree,Male,Finance,Government agency,1-200,Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
India,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Engineer,A reduction in job opportunities caused by automation,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,58-67,1,Doctoral degree,Male,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,42-57,1,Master's degree,Male,Manufacturing,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Doctoral degree,Male,Technology,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
India,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
Greece,18-25,1,Master's degree,Female,,,,Other,Others avg.,Other (please indicate below),Impacts to individual privacy,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
India,26-41,1,Master's degree,Male,Technology,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,18-25,1,Bachelor's degree,Male,Government,Government agency,"201-1,000",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Armenia,26-41,1,High School or equivalent,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,A reduction in job opportunities caused by automation,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
Indonesia,18-25,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
India,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Other (please indicate below),0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,68-100,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Other (please indicate below),0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
Canada,26-41,1,Bachelor's degree,Male,,,,Operations,Others avg.,DevOps,Advanced information warfare,0.6,0.03877471888,Further innovation in the open-source data science community,0.5882,,,,,,
India,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Romania,42-57,1,Master's degree,Male,Insurance,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,42-57,1,Master's degree,Male,,Educational institution,,Business professional,Others avg.,Business Analyst,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Kenya,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
United States,26-41,1,Master's degree,Female,Healthcare,Commercial (for-profit) entity,"10,001",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Mexico,26-41,1,Some college,Other,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Kenya,26-41,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Mexico,26-41,1,Bachelor's degree,Male,Engineering,Commercial (for-profit) entity,"10,001",Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,More specialized data science hardware,0.3448,,,,,,
India,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,58-67,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"10,001",Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,Other (please indicate below),0.3448,,,,,,
India,26-41,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,"10,001",Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,Doctoral degree,Female,Technology,Commercial (for-profit) entity,"10,001",Business professional,Others avg.,Business Analyst,Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Peru,18-25,1,Bachelor's degree,Male,Food & Beverage,Commercial (for-profit) entity,"5,001-10,000",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
India,26-41,1,Master's degree,Male,Healthcare,Not-for-profit organization,"10,001",Operations,Others avg.,CloudOps,Impacts to individual privacy,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
Guyana,26-41,1,Bachelor's degree,Male,Food & Beverage,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Argentina,42-57,1,Master's degree,Female,Finance,Commercial (for-profit) entity,"3,001-5,000",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Mexico,18-25,1,Bachelor's degree,Male,Food & Beverage,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
Nigeria,26-41,1,Doctoral degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,42-57,1,Bachelor's degree,Male,,Educational institution,,Other,Others avg.,Other (please indicate below),Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
India,18-25,1,High School or equivalent,Male,,Educational institution,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Canada,26-41,1,Master's degree,Male,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
